Year,Annual_Mean_Absolute,Annual_Median_Absolute
2024,15.18,15.18
2025,15.1,15.12
2023,15.07,15.09
2016,14.91,14.83
2020,14.91,14.88
2019,14.88,14.84
2017,14.81,14.8
2015,14.8,14.75
2022,14.79,14.8
2018,14.75,14.73
