Year,Predicted_Annual_Mean_Absolute_Temperature
2026,14.589457723193197
2027,14.597749665005347
2028,14.6060416068175
2029,14.614333548629654
2030,14.622625490441804
2031,14.630917432253957
2032,14.63920937406611
2033,14.647501315878264
2034,14.655793257690414
2035,14.664085199502567
