year,mean,median,standard_deviation
1959,7.92,7.47,6.78
1960,7.21,6.81,6.35
1961,8.16,9.11,6.46
1962,6.49,7.31,7.34
1963,6.32,7.47,8.17
1964,7.39,6.86,7.47
1965,6.47,6.53,6.61
1966,7.44,9.07,6.79
1967,7.48,7.81,6.91
1968,7.06,8.66,6.57
1969,6.78,7.38,7.49
1970,6.82,5.89,7.21
1971,7.26,8.52,7.32
1972,6.9,6.16,5.93
1973,6.96,5.12,7.43
1974,7.47,5.43,5.89
1975,7.45,6.4,6.6
1976,7.36,7.44,7.05
1977,7.38,7.34,5.82
1978,6.6,6.3,6.27
1979,7.09,6.64,6.74
1980,6.54,5.65,6.68
1981,7.13,7.59,7.02
1982,7.8,6.64,7.0
1983,7.79,7.58,7.42
1984,6.82,6.8,6.55
1985,6.88,7.61,7.84
1986,7.15,7.0,7.52
1987,7.14,8.18,7.39
1988,7.92,8.45,6.56
1989,8.14,7.54,6.38
1990,8.26,7.71,6.64
1991,7.41,6.29,7.47
1992,8.06,6.33,7.07
1993,7.62,7.43,6.63
1994,8.82,7.4,6.67
1995,7.75,8.92,6.89
1996,6.97,7.71,6.82
1997,8.21,6.93,6.55
1998,7.96,7.19,6.92
1999,7.9,7.61,7.25
2000,8.56,8.29,6.55
2001,7.98,7.88,7.05
2002,8.48,7.68,6.17
2003,8.67,6.41,8.49
2004,7.85,8.58,6.97
2005,7.57,8.42,7.71
2006,8.34,9.11,7.77
2007,8.55,9.75,6.37
2008,8.11,7.38,6.61
2009,8.3,8.66,7.73
2010,7.23,7.64,7.61
2011,8.85,9.32,6.68
2012,8.16,7.72,7.33
2013,8.18,8.39,8.3
