year,mean,median,standard_deviation
1959,13.98,13.16,5.99
1960,13.78,12.46,6.04
1961,14.64,13.82,5.93
1962,13.81,13.65,6.7
1963,13.4,13.34,6.16
1964,14.06,12.54,6.8
1965,13.65,13.45,6.2
1966,13.97,12.99,5.93
1967,13.7,12.64,6.28
1968,13.94,13.15,6.0
1969,13.21,13.12,6.18
1970,13.72,12.8,6.49
1971,13.09,12.65,6.34
1972,12.81,12.21,5.59
1973,13.42,12.39,6.54
1974,13.32,10.86,6.0
1975,13.37,12.36,6.23
1976,13.44,11.48,6.33
1977,13.55,13.07,4.88
1978,13.72,12.16,5.83
1979,13.83,12.3,6.04
1980,13.6,12.56,6.3
1981,14.27,13.18,6.01
1982,14.2,12.97,6.0
1983,14.19,13.21,6.32
1984,13.37,12.6,6.1
1985,14.13,13.29,6.74
1986,13.88,12.77,6.59
1987,14.46,13.73,6.38
1988,14.16,13.68,5.91
1989,15.05,14.01,6.27
1990,14.76,13.11,6.68
1991,14.01,11.86,6.9
1992,13.96,12.74,6.3
1993,13.5,11.9,6.11
1994,14.65,13.6,6.25
1995,15.07,15.01,5.79
1996,14.15,13.65,5.83
1997,15.11,15.36,5.51
1998,14.55,13.11,6.2
1999,14.37,13.97,6.63
2000,14.47,12.77,6.22
2001,14.62,14.44,6.42
2002,14.65,13.81,5.42
2003,15.0,13.43,6.98
2004,14.4,13.17,6.6
2005,14.3,14.34,7.26
2006,15.11,15.36,6.91
2007,14.24,13.82,6.0
2008,14.23,13.69,6.02
2009,14.97,14.34,6.7
2010,14.25,13.91,6.78
2011,15.32,16.06,6.34
2012,14.58,13.18,6.81
2013,14.86,13.2,7.03
