year,mean,median,standard deviation
1959,9.18,9.15,7.0
1960,8.51,8.3,6.39
1961,9.12,10.7,6.56
1962,7.32,8.8,6.82
1963,7.22,8.37,8.93
1964,8.24,7.99,7.57
1965,7.63,7.69,6.52
1966,8.65,9.97,6.83
1967,9.04,8.98,6.64
1968,8.32,9.7,7.03
1969,7.91,8.68,8.04
1970,7.86,7.35,7.47
1971,8.6,8.83,6.96
1972,8.05,7.2,6.45
1973,8.4,6.36,7.12
1974,8.97,7.01,5.32
1975,9.09,7.29,6.78
1976,8.65,8.45,7.4
1977,8.8,8.34,5.88
1978,7.93,7.92,6.33
1979,7.9,7.65,7.2
1980,7.73,7.13,6.7
1981,8.32,8.04,7.17
1982,9.07,8.24,7.38
1983,9.19,8.97,7.26
1984,8.12,8.61,6.34
1985,7.61,8.43,7.83
1986,8.09,8.13,7.57
1987,7.59,9.28,7.53
1988,9.2,8.9,6.2
1989,9.68,8.97,6.17
1990,9.69,9.0,5.94
1991,8.52,7.8,7.07
1992,9.51,7.23,6.98
1993,8.63,9.21,6.59
1994,9.85,7.96,6.66
1995,9.03,10.15,7.27
1996,7.37,8.94,7.56
1997,9.05,7.16,7.07
1998,9.17,8.78,6.38
1999,9.62,9.12,6.9
2000,10.02,10.45,6.06
2001,9.09,9.66,6.98
2002,9.64,8.16,6.64
2003,9.49,7.22,7.99
2004,9.05,9.75,6.67
2005,9.13,10.27,6.99
2006,9.71,10.18,7.92
2007,10.0,10.06,6.04
2008,9.64,8.46,6.34
2009,9.36,10.07,7.4
2010,8.01,8.49,8.13
2011,9.82,10.6,6.54
2012,9.23,8.55,6.98
2013,9.24,10.18,8.54
